,Category,Name,Location,Elevator Region,Cluster,Spelling
217,Men's Fashion,Pandora Other Store,B2-88A,,B2_B_5,Pandora Other Store
218,Restaurants,TWG Tea Salon & Boutique Other Store,B2-89,,B2_B_5,"TWG Tea Salon & Boutique Other Store, TWG Other Store"
219,Men's Fashion,G-Factory Premium,B2-90,,B2_B_5,"G-Factory Premium, G-Factory"
220,Men's Fashion,Fossil,B2-90A,,B2_B_5,Fossil
221,"Handbag, Shoes & Accessories",MANGO TOUCH,B2-91,,B2_B_5,MANGO TOUCH
222,Lifestyle & Gifts,Royal Selangor,B2-92,,B2_B_5,Royal Selangor
223,Men's Fashion,Watch Station International,B2-93,,B2_B_5,"Watch Station International, Watch Station"
224,Men's Fashion,Lukfook Jewellery,B2-95,,B2_B_5,"Lukfook Jewellery, LukFook"
225,Women's Fashion,Sacoor Brothers,B2-96,,B2_A_6,Sacoor Brothers
226,Women's Fashion,iROO,B2-97,,B2_A_6,iROO
227,Men's Fashion,Ferrari Store,B2-98,,B2_A_6,Ferrari Store
228,"Handbag, Shoes & Accessories",Charles and Keith Signature Label,B2-99,,B2_A_6,"Charles and Keith Signature Label, Charles and Keith"
229,"Handbag, Shoes & Accessories",Orogold Cosmetics B2,B2-K1,,B2_A_5,"Orogold Cosmetics B2, Orogold B2"
230,"Handbag, Shoes & Accessories",Pashma,B2-K13,,B2_B_4,Pashma
231,Men's Fashion,Pandora,B2-K15,,B2_B_3,Pandora
232,"Handbag, Shoes & Accessories",Onsen,B2-K17,,B2_B_3,Onsen
233,"Handbag, Shoes & Accessories",OPI ,B2-K4,,B2_A_5,OPI
234,"Handbag, Shoes & Accessories",Mt Sapola,B2-K5,,B2_A_5,"Mt Sapola, Sapola"
235,Men's Fashion,Solvil et Titus,B2-K7,,B2_A_5,Solvil et Titus
236,,Dior B2,B2-23,,B2_B_1,Dior B2
